x,y,text,lang
-18.544863,-17.588125,"""in the situation""",ko
-32.246048,-21.398138,"""mostly""",ko
-21.716875,-21.895788,"""when necessary""",ko
-9.646442,5.987291,"""going forward""",ko
-8.049936,18.101439,"""over""",ko
-28.362736,-17.493965,"""in turn""",ko
-8.67371,-2.7247622,"""to""",ko
-5.3417196,33.918293,"""distinctly""",ko
-47.73592,-11.411949,"""in relation to this""",ko
-15.557977,-0.7252455,"""inside of""",ko
-6.752746,30.348616,"""between""",ko
-26.6171,14.477814,"""compared to that""",ko
-23.429861,-14.422388,"""based on""",ko
-10.507363,-7.646015,"""along""",ko
-36.346775,-12.805553,"""regarding""",ko
-12.379338,-3.4630516,"""each other""",ko
-12.994137,-13.394395,"""escaping from""",ko
-13.499891,3.2741327,"""inside""",ko
-35.877594,-5.82369,"""traditionally""",ko
-35.632843,-16.66936,"""in contrast""",ko
-8.72601,0.6808159,"""as a result""",ko
-28.91882,-23.235458,"""safely""",ko
-32.338238,-29.00798,"""reminding""",ko
-29.67939,-14.204161,"""without exception""",ko
-31.454453,-17.482876,"""on the opposite side""",ko
-45.12171,-7.246859,"""encouraging""",ko
-18.920122,-15.569726,"""from the perspective""",ko
-38.508217,-24.443754,"""at the top""",ko
-34.654213,-17.166632,"""instead of""",ko
-8.955239,6.5347643,"""in front of""",ko
-19.37216,-12.867499,"""about""",ko
-6.4342523,-3.5169528,"""for example""",ko
-40.4452,-28.899527,"""don’t forget to""",ko
-35.917034,-11.076718,"""acting upon""",ko
-40.665283,-13.563716,"""depending on circumstances""",ko
-3.6143317,22.315039,"""and""",ko
-38.551956,13.797599,"""extremely""",ko
-34.10838,-25.360685,"""second half""",ko
-18.618137,4.842614,"""because of""",ko
-3.369229,23.915125,"""and""",ko
-3.9621,14.4390955,"""until""",ko
-14.130528,3.0317128,"""within""",ko
-38.698875,-21.866323,"""toward the other""",ko
-33.97338,2.686826,"""above all""",ko
-3.9628139,26.453442,"""firstly""",ko
-35.13851,-14.920164,"""in response""",ko
-27.391598,-22.148348,"""through""",ko
-5.4924197,3.6548316,"""by group""",ko
-29.898249,-8.714061,"""in any case""",ko
-29.201733,4.1926527,"""regardless of""",ko
-18.700922,13.071196,"""about""",ko
-24.3042,-20.814596,"""down""",ko
-7.9858394,12.440423,"""together""",ko
-20.990568,-0.64038557,"""especially""",ko
-19.286835,-8.5051365,"""on the side of""",ko
-11.954188,14.270288,"""as well as""",ko
-37.782795,0.41218176,"""little by little""",ko
-22.893753,-4.4094195,"""famously""",ko
-33.742207,3.2942047,"""above all""",ko
-15.920301,-2.0589838,"""inside""",ko
-4.0886827,1.1454871,"""at the same time""",ko
-7.4515185,-14.66008,"""regardless of""",ko
-10.207843,-5.2988906,"""almost""",ko
-16.647072,-16.821936,"""around""",ko
-19.574442,-0.41879052,"""especially""",ko
-10.566363,-0.17421074,"""with men""",ko
-25.383486,-0.010959179,"""accurately""",ko
-12.922122,1.275767,"""behind""",ko
-27.167944,-12.383263,"""besides""",ko
-15.943043,-5.833544,"""before and after""",ko
-40.31821,-22.144405,"""beyond expectations""",ko
-34.02802,-20.493685,"""if instead""",ko
-27.95771,-25.798948,"""even""",ko
-24.141897,-25.814848,"""closely""",ko
-10.501418,-3.5897489,"""by""",ko
-24.197657,-14.835708,"""based on""",ko
-5.215518,10.591644,"""to""",ko
-35.488186,-7.0851684,"""typically""",ko
-3.6416807,6.903978,"""to the left""",ko
-8.049936,18.101439,"""above""",ko
-30.398733,-3.9637568,"""like that""",ko
